ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
5,$40-50k,2015,2015,TRUE,TRUE,882680,21904.8184,8532,New York,04000US36,,0.098166196
9,$80-90k,2015,2015,TRUE,TRUE,374781,14713.58938,3646,New York,04000US36,,0.041680819
4,$30-40k,2015,2015,TRUE,TRUE,1092213,24049.54897,10123,New York,04000US36,,0.121469157
3,$20-30k,2015,2015,TRUE,TRUE,1157819,24658.27205,10565,New York,04000US36,,0.128765449
10,$90-100k,2015,2015,TRUE,TRUE,248521,12068.96641,2521,New York,04000US36,,0.027638964
2,$10-20k,2015,2015,TRUE,TRUE,1218155,25195.01673,11004,New York,04000US36,,0.135475645
1,< $10K,2015,2015,TRUE,TRUE,1041198,23556.87953,10584,New York,04000US36,,0.115795585
11,$100-110k,2015,2015,TRUE,TRUE,274918,12674.57854,2663,New York,04000US36,,0.030574675
21,$200k+,2015,2015,TRUE,TRUE,2981526,41949.9846,31850,United States,01000US,united-states,0.020790782
20,$190-200k,2015,2015,TRUE,TRUE,194729,10826.67286,2025,United States,01000US,united-states,0.001357885
12,$110-120k,2015,2015,TRUE,TRUE,123597,8571.822711,1291,New York,04000US36,,0.013745692
19,$180-190k,2015,2015,TRUE,TRUE,389361,15298.9141,4044,United States,01000US,united-states,0.002715093
18,$170-180k,2015,2015,TRUE,TRUE,412068,15737.44942,4236,United States,01000US,united-states,0.002873433
13,$120-130k,2015,2015,TRUE,TRUE,142268,9186.819039,1418,New York,04000US36,,0.015822165
17,$160-170k,2015,2015,TRUE,TRUE,491260,17178.50288,5092,United States,01000US,united-states,0.003425655
16,$150-160k,2015,2015,TRUE,TRUE,1079531,25412.74016,11176,United States,01000US,united-states,0.007527787
14,$130-140k,2015,2015,TRUE,TRUE,72954,6604.353404,730,New York,04000US36,,0.008113491
15,$140-150k,2015,2015,TRUE,TRUE,772097,21514.85455,7982,United States,01000US,united-states,0.005383988
8,$70-80k,2015,2015,TRUE,TRUE,459702,16215.01708,4564,New York,04000US36,,0.051125206
15,$140-150k,2015,2015,TRUE,TRUE,56627,5823.910367,556,New York,04000US36,,0.006297704
13,$120-130k,2015,2015,TRUE,TRUE,1900044,33617.10337,19333,United States,01000US,united-states,0.01324939
12,$110-120k,2015,2015,TRUE,TRUE,1626297,31131.35771,16648,United States,01000US,united-states,0.011340497
16,$150-160k,2015,2015,TRUE,TRUE,90337,7342.009463,830,New York,04000US36,,0.010046721
11,$100-110k,2015,2015,TRUE,TRUE,3368094,44525.21333,33842,United States,01000US,united-states,0.023486398
10,$90-100k,2015,2015,TRUE,TRUE,3312220,44163.15761,33267,United States,01000US,united-states,0.023096777
17,$160-170k,2015,2015,TRUE,TRUE,39677,4879.595944,374,New York,04000US36,,0.00441263
9,$80-90k,2015,2015,TRUE,TRUE,4852634,53160.42135,47855,United States,01000US,united-states,0.033838395
8,$70-80k,2015,2015,TRUE,TRUE,6316268,60328.68324,62783,United States,01000US,united-states,0.044044609
18,$170-180k,2015,2015,TRUE,TRUE,35785,4635.102534,325,New York,04000US36,,0.003979786
7,$60-70k,2015,2015,TRUE,TRUE,8817232,70625.51954,87211,United States,01000US,united-states,0.061484335
6,$50-60k,2015,2015,TRUE,TRUE,11448206,79685.14343,112548,United States,01000US,united-states,0.079830647
19,$180-190k,2015,2015,TRUE,TRUE,27146,4038.974579,275,New York,04000US36,,0.00301901
5,$40-50k,2015,2015,TRUE,TRUE,14797713,89438.16928,141829,United States,01000US,united-states,0.103187434
4,$30-40k,2015,2015,TRUE,TRUE,18742734,99100.72997,174251,United States,01000US,united-states,0.130696861
20,$190-200k,2015,2015,TRUE,TRUE,15535,3057.418551,158,New York,04000US36,,0.001727706
3,$20-30k,2015,2015,TRUE,TRUE,21308700,104573.7412,189804,United States,01000US,united-states,0.148589859
2,$10-20k,2015,2015,TRUE,TRUE,20987738,103919.5025,185322,United States,01000US,united-states,0.146351726
21,$200k+,2015,2015,TRUE,TRUE,273764,12648.78626,2706,New York,04000US36,,0.030446334
1,< $10K,2015,2015,TRUE,TRUE,18582269,98739.08154,178082,United States,01000US,united-states,0.129577906
19,$180-190k,2014,2014,TRUE,TRUE,340317,14305.11006,3574,United States,01000US,united-states,0.002416526
4,$30-40k,2014,2014,TRUE,TRUE,1053653,23664.97143,9965,New York,04000US36,,0.118210662
12,$110-120k,2014,2014,TRUE,TRUE,109797,8084.971756,1075,New York,04000US36,,0.012318264
11,$100-110k,2014,2014,TRUE,TRUE,3135463,42986.91999,31372,United States,01000US,united-states,0.022264328
5,$40-50k,2014,2014,TRUE,TRUE,14459569,88435.65564,139529,United States,01000US,united-states,0.102674655
15,$140-150k,2014,2014,TRUE,TRUE,711579,20657.90804,7320,United States,01000US,united-states,0.005052787
13,$120-130k,2014,2014,TRUE,TRUE,136415,8998.223648,1342,New York,04000US36,,0.015304571
5,$40-50k,2014,2014,TRUE,TRUE,879653,21860.88283,8543,New York,04000US36,,0.098689382
20,$190-200k,2014,2014,TRUE,TRUE,179799,10403.77573,1857,United States,01000US,united-states,0.001276719
4,$30-40k,2014,2014,TRUE,TRUE,18444902,98294.53729,173148,United States,01000US,united-states,0.130973748
